name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Дмитрий Джангиров	1966-09-22	Киев, Украина			2	0	0
Рикардо Фернандес де ла Регера	1912-04-27	Барсенильяс, пров. Сантандер			2	0	1
Иван Ященко	1968-12-12	Львов, СССР			131	1	4
Алисса Милано	1972-12-19	Бруклин, Нью-Йорк, США			2	0	2
Елизавета Стюарт	1906-09-28	Томск	1984-02-03	Новосибирск	5	0	0
Михаил Умаров	1971-02-22	Калининград			5	0	50
Нина Киняпина	1920-12-10	с. Кадом, Тамбовская губерния, РСФСР	2003-10-11	Москва, Россия	1	0	1
Пол Дэвис	1946-04-22	Лондон, Великобритания			9	0	6
Юрий Цивьян	1950-08-07	Рига			6	0	49
Джесс Буллингтон	1982-02-14	Пенсильвания, США			4	0	69
Теренс Маккенна	1946-11-16	г.Paonia, штат Колорадо, США	2000-04-03		6	11	144
Хосе Ортега-и-Гассет	1883-05-09	Мадрид, Испания	1955-10-18	Мадрид, Испания	34	12	1031
Алексей Волков	1959-10-10	Клайпеда			58	0	145
Александра «Альфина» Голубева	1990-04-15				2	5	99
Аарон Лопрести	1964-01-07	США			12	0	8
Дмитрий Абельдяев	1865-10-13	Расховец, Щигровский уезд, Курская губерния, Российская империя	1915-01-01		1	0	1
Макс Петров	1970-09-24				3	0	27
Мишель Нострадамус	1503-12-14	Сан-Реми-де-Прованс, Франция	1566-07-02	Салон-де-Прованс, Франция	24	1	55
Владимир Коковцов	1853-04-30	имение Горна-Покровское, Новгородская губерния	1943-01-29	Париж	7	0	11
Чарльз Монтегю Даути	1843-08-19	Суффолк, Великобритания	1926-01-20	Кент, Великобритания	1	0	0
Эрнст Малышев	1940-07-30	Коломна			23	0	11
Мартин Светлицкий	1961-12-24	Люблин			7	0	2
Иван Козлов	1779-04-22	Москва, Российская империя	1840-02-11	Санкт-Петербург, Российская империя	45	0	28
Григорий Данилевский	1829-04-26	село Даниловка, Изюмский уезд, Слободско-Украинская губерния	1890-12-18	Санкт-Петербург	128	6	535
Турвалд Стеен	1954-01-09	Осло, Норвегия			5	0	5
Никита Миронов	1986-04-28	Ленинград			2	0	1
Жан Тардье	1903-11-01	Сен-Жермен-де-Жу, Франция	1995-01-27	Кретей, Франция	3	0	6
Линда Д. Аддисон	1952-08-08	Филадельфия, Пенсильвания, США			0	0	0
Галина Ермошина	1962-11-01	Ивантеевка, Саратовская область, СССР			3	0	4
Эмиль Золя	1840-04-02	Париж, Франция	1902-09-29	Париж, Франция	384	256	9073
Гюстав Дроз	1832-06-09	Париж, Франция	1895-10-22	Париж, Франция	2	0	0
Чарльз Лиланд	1824-08-15	Филадельфия, Пенсильвания, США	1903-03-20	Флоренция, Италия	1	0	21
Джилл Мерфи	1949-07-05	Лондон, Великобритания			43	19	852
Эльза Ласкер-Шюлер	1869-02-11	Эльберфельд, ныне Вупперталь, Германия	1945-01-22	Иерусалим, Палестина	2	3	25
Илья Куликов	1981-08-07	Москва			1	0	16
Наталья Гайдамака	1952-12-24	Киев, СССР			1	0	1
Евгений Сухов	1959-07-25	Потсдам, Германия			321	5	312
Светлана Леонтьева	1960-11-19	Свердловск			1	0	0
Хосе́ Анто́нио При́мо де Риве́ра	1903-04-24	Мадрид	1936-11-20	Аликанте	0	0	0
Маргарита Герасимова	1934-09-21	СССР			5	0	0
Юрий Смолич	1900-07-08	Софиевка, Черкасская область	1976-08-26	Киев, УССР	33	0	21
Ури Гордон	1976-08-30				0	0	0
Питер Хизер	1960-08-06	Северная Ирландия			9	0	11
Хорст Эверс	1967-02-08	Дипхольц, Германия			7	0	4
Андреа Жапп	1957-09-17	Париж			7	1	65
Александр Друзь	1955-05-10	Ленинград, СССР			2	0	29
Норма Бейшир	1953-08-05	Сент-Луис, штат Миссури, США			7	0	10
Одд Эйдем	1913-10-23	Осло, Норвегия	1988-06-10		0	0	0
Дзюнъити Ватанабэ	1933-10-24	Япония, о. Хоккайдо, п. Камисунагава	2014-04-30		4	2	53
