name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Роальд Мандельштам	1932-09-16	Ленинград	1961-01-26	Ленинград	3	2	14
Лайон Спрэг Де Камп	1907-11-27	Нью-Йорк, США	2000-11-06	Плано, штат Техас, США	62	7	583
Елена Фанайлова	1962-12-19	Воронежская область			15	0	28
Сергей Карамбиров	1951-07-25	г. Москва	2016-08-08		2	0	1
Нельсон Мандела	1918-07-18	Мфезо, близ Умтаты	2013-12-05	Йоханнесбург	11	2	18
Франсиско Мадариага	1927-09-09	Concepción, провинция Corrientes, Аргентина	2000-09-24	Буэ́нос-А́йрес, Аргентина	0	0	0
Сусанна Георгиевская	1916-05-23	Одесса	1974-11-27	Москва	36	2	135
Лисандро Отеро	1932-06-04	Гавана, Куба	2008-01-03	Гавана, Куба	7	0	4
Самюэль Филлипс Хантингтон	1927-04-18	Нью-Йорк, США	2008-12-24	Мартас-Винъярд, США	18	6	407
Петр Сажин	1906-06-17	с. Большая Лозовка, Тамбовский уезд, Российская империя	1991-01-12	Москва, СССР	18	0	7
Змитрок Беспалый	1934-08-28	д. Великий Бор, Хойникский р-н, Гомельская обл.			0	0	0
Джастин Скотт	1944-07-20	Манхэттен, Нью-Йорк, США			22	0	19
Ренэ Маран	1887-11-05	Фор-де-Франс, Мартиника	1960-05-09	Париж, Франция	1	0	0
Аравинд Адига	1974-10-23	Мадрас, Индия			13	4	894
Арнольд Гессен	1878-04-16	Короча, Курская губерния	1976-03-12		28	1	31
Даниил Андреев	1906-11-02	Берлин	1959-03-30	Москва	51	10	342
Марко Черемшина	1874-06-13	Кобаки	1927-04-25	Снятин	1	0	12
Стефан Продев	1927-09-15	София, Болгария	2001-09-04	село Енчевци, край Трявна, Болгария	5	0	4
Надин Гордимер	1923-11-20	Спрингс, Трансвааль, ЮАС	2014-07-13	Йоханнесбург, ЮАР	33	3	68
Айрин Пепперберг	1949-04-01	Бруклин, Нью Йорк			1	1	3
Лев Квин	1922-04-20	Рига	1996-02-27	Барнаул	15	0	20
Стюарт Холл	1932-02-03	Кингстон, Ямайка	2014-02-10	Лондон, Великобритания	2	0	0
Владимир Колесов	1934-04-10				54	1	74
Михаил Шелег	1955-09-27	Корсаков Сахалинская обл.			5	0	0
Шандор Ференци	1873-07-16	Мишкольц, Австро-Венгрия	1933-05-22	Будапешт, Венгрия	11	1	10
Георгий Захаров	1908-04-24	с. Старое Семёнкино, Клявлинский район, Самарская область	1996-01-06	Москва, РФ	3	0	3
Александр Петровский	1962-04-28				6	1	6
Анна Клименко	1979-09-22	Таганрог, Россия			9	2	98
Вадим Макшеев	1926-09-04	г. Ленинград			2	0	0
Сильвия Лонг	1948-09-29	Итака, штат Нью-Йорк, США			4	0	33
Андрей Молчанов	1961-06-09	Ярославль, СССР			4	0	1
Жан-Ришар Блок	1884-05-25	Париж, Франция	1947-03-15	Париж, Франция	10	0	4
Юми Хотта	1957-10-15	Оказаки, Япония			1	0	0
Элеонора Мандалян	1939-08-06	Москва, СССР			8	0	22
Харри Мулиш	1927-07-29	Харлем, Нидерланды	2010-10-30	Амстердам, Нидерланды	10	1	40
Николай Введенский	1852-04-28	Кочково, Вологодская губерния, Российская империя	1922-09-16	Кочково, Вологодская губерния, РСФСР	5	0	0
Игорь Тамм	1895-07-08	Владивосток, Россия	1971-04-12	Москва, СССР	6	0	3
Ёнхи Ли	1974-05-08				8	1	20
Ирина Чадеева	1971-10-17				28	8	175
Джимми Гоунли	1972-02-05	Пенсильвания, США			1	0	0
Аленка Зупанчич	1966-04-01	Любляна, Югославия (сейчас Словения)			2	0	1
Вадим Панов	1972-11-15				190	124	2635
Фридрих Герштеккер	1816-05-10	Гамбург	1872-05-31	Брауншвейг	13	0	17
Жак Фреско	1916-03-13	Нью-Йорк, США	2017-05-18	Флорида, США	2	34	317
Павел Кузьменко	1954-11-30	Москва, СССР			18	0	21
Карина Микиртумова	1992-05-07				1	1	23
Роджер Макбрайд Аллен	1957-09-26	г. Бриджпорт, шт. Коннектикут, США			22	0	58
Василий Водовозов	1825-10-09	Санкт-Петербург	1886-05-29	Санкт-Петербург	4	0	0
Тенгиз Гудава	1953-11-28	Самтредиа, Грузинская ССР, СССР	2009-04-16	Прага	1	0	2
Отомо Кацухиро	1954-04-14	г. Томеа, префектура Мияги			6	2	20
Рудольф Карнап	1891-05-18	Вупперталь, Германия	1970-09-16	Санта-Мария, Калифорния, США	7	0	10
Пол Хейне	1931-11-02	Сент-Луис, Миссури, США	2000-04-09		5	0	27
Дмитрий Григорьев	1960-09-05	Ленинград			21	0	96
Михаил Елизаров	1973-01-28	Ивано-Франковск			25	47	1958
Антония Фрейзер	1932-08-27	Лондон			11	0	9
Кадер Абдола	1954-11-12	Эрак, Иран			4	0	17
Булат Джандарбеков	1932-02-09	Алма-Ата, Казахстан	1991-03-23	Алма-Ата, Казахстан	2	0	59
Александра Суперанская	1929-10-07	г. Москва	2013-03-12	г. Москва	45	1	32
Наталья Гершензон-Чегодаева	1907-09-30	Москва	1977-04-08	Москва	8	0	13
Алан Дэвис	1956-06-18				17	0	131
Нисаргадатта Махарадж	1897-05-17	Мумбаи, Индия.	1981-09-08	Бомбей (Бывш. Мумбаи)	3	2	28
Владимир Гетте	1816-12-01	Блуа, Франция	1892-03-20	Люксембург	1	0	1
Джакомо Леопарди	1798-06-29	Реканати	1837-07-14	Неаполь	18	1	37
Геннадий Семенихин	1919-12-28	Новочеркасск, Область Войска Донского, Российская Империя	1984-10-22		39	2	36
Эден фон Хорват	1901-12-09	Фиуме, Австро-Венгрия (ныне — Риека, Хорватия)	1938-06-01	Париж, Франция	8	0	13
Уильям Стейг	1907-11-14	Бруклин, Нью-Йорк, США	2003-10-03	Бостон, США	11	0	56
Уильям Барретт	1900-11-16	Нью-Йорк, США	1986-09-14		3	0	2
Иори Фудзивара	1948-02-17	Осака, Япония,	2007-05-17	Shinagawa-ку, Токио, Япония	5	4	265
Натиг Расулзаде	1949-06-05	Баку, АзССР			10	2	24
Джесси Кирби	1978-07-28	Mammoth Lakes, CA			6	4	652
Дэвид Вонг	1975-01-10	Лоренсвилль, штат Иллинойс, США.			8	17	756
Робер Пенже	1919-07-19	Женева, Щвейцария	1997-08-25	Тур, Франция	4	0	7
Чарльз Маргрейв Тейлор	1931-11-05	Монреаль, Квебек			5	0	7
Николай Вахтин	1950-03-13	Санкт-Петербург			9	0	6
Алексей Радугин	1943-03-28				29	0	27
Григорий Канович	1929-06-18	Ионава, Литва			22	0	10
Михаил Исаковский	1900-01-07	д. Глотовка Смоленской губ.	1973-07-20	Москва	72	0	35
Мартирос Сарьян	1880-02-28	Нахичевань-на-Дону, область Войска Донского, Российская империя	1972-05-05	Ереван, Армянская ССР, СССР	11	0	3
Дональд Гриффин	1915-08-03	Саутгемптон, штат Нью-Йорк	2003-11-07	Лексингтон, Массачусетс	3	0	1
Ирена Подольская	1939-11-22	Ленинград, СССР			3	0	2
Сергей Алексеев	1973-05-29	Москва			20	0	2
Кэт Рэмбо	1963-11-14	Брайан, Техас, США			1	0	1
Вера Мутафчиева	1929-03-28	София, Болгария	2009-06-09	София, Болгария	6	0	12
Чарльз Пирс	1839-09-10	Кембридж, Массачусетс	1914-04-19	Милфорд, Пенсильвания	23	2	5
Кэндзи Миядзава	1896-08-27	Ханамаки, Япония	1933-09-21	Ханамаки, Япония	10	18	225
Александр Лоуэн	1910-12-23	Нью-Йорк, США	2008-10-28	Нью-Ханаан, Коннектикут, США	42	13	273
Камилла Лэкберг	1974-08-30	Швеция			52	93	1994
Иван Новгород-Северский	1893-12-13	Каменка, Вяземский уезд, Смоленская губерния	1969-07-10	Ванв (пригород Парижа), Франция	3	0	0
Валерий Мурин	1951-12-17	пос. Мга, Ленинградская область, СССР			1	0	1
Сергей Козлов	1966-05-28	Тюмень			12	0	60
Мэри МакКарти	1912-06-21	Сиэтл, США	1989-10-25	Нью-Йорк, США	8	0	11
Фердинанд Грегоровиус	1821-01-19	Найденбург	1891-05-01	Мюнхен	3	0	7
Генри Слезар	1927-06-12	Бруклин, Нью-Йорк, США	2002-04-02	Нью-Йорк, США	1	0	19
Дмитрий Зеленин	1878-10-21	село Люк Сарапульского уезда (Удмуртия)	1954-08-31	Ленинград	15	2	49
Альберт Варюхичев	1937-12-13	Кириллов, Вологодской обл.	1989-12-26	Кириллов, Вологодской обл.	4	0	1
Ричард Хаммонд	1969-12-19	Бирмингем, Великобритания			10	0	30
Михаил Круг (настоящая фамилия — Воробьёв)	1962-04-07	Калинин (Тверь)	2002-07-01	Тверь	2	0	4
Джонатон Китс	1971-10-02	Нью-Йорк, США			3	0	47
Стивен Розен	1955-10-20	Кливленд, Огайо, США			7	0	40
Галина Аудерская	1904-07-03	Одесса, Украина	2000-02-21	Варшава, Польша	5	0	28
Станислав Рассадин	1935-03-04	Москва, СССР	2012-03-20	Москва, Россия	45	3	46
Николас Спаркс	1965-12-31	Омаха, штат Небраска, США			237	359	15172
Джон Ворнхолт	1951-02-14	Marion, Ohio, United States			10	0	72
Гельмут Пеш	1952-08-30	Мёнхенгладбах			6	0	37
Уве Тимм	1940-03-30	Германия, Гамбург			28	1	383
Веркор	1902-02-26	Париж	1991-06-10	Париж	18	4	434
Эдмон Ростан	1868-04-01	Марсель, Франция	1918-12-02	Париж, Франция	47	12	839
Томас Андерс	1963-03-01	Мюнстермайфельд			2	1	12
Виктор Тихомиров	1951-05-13	г.Ленинград, СССР			10	0	12
Анна Граб	1995-12-02				0	0	1
Кристофер Гастингс	1983-06-21	Камберленд, Мэриленд, США			10	0	40
Натализа Кофф	1984-04-09				1	14	236
Иоганна Шпири	1827-06-12	Гирцель (Швейцария)	1901-07-07	Цюрих (Швейцария)	43	2	404
Николай Анциферов	1889-07-30	Умань	1958-09-02	Москва	29	0	48
Альфред Вебер	1868-06-30	Эрфурт, Пруссия	1958-05-02	Гейдельберг, Германия	3	0	1
Оле Лунн Киркегор	1940-07-29	Орхус, Дания	1979-03-24	Стендеруп, Дания	3	0	8
Наталия Котянова	1977-09-07	Санкт-Петербург			1	3	172
Святослав Сахарнов	1923-03-12	Бахмут, Екатеринославская губерния, УССР, СССР	2010-09-23	Санкт-Петербург	146	7	434
Георгий Марчук	1947-01-01	Давид-Городок Столинского р-на Брестской обл., Беларусь			18	0	10
Томас Вудс	1972-08-01	Мелроуз, Массачусетс, США			2	0	14
Оллі Перехрест	1992-08-10	Київ			1	0	4
Галина Вдовиченко	1959-06-21	Россия, Кольский полуостров			24	8	429
Юрий Трусов	1914-04-03	Одесса, Российская империя	1991-03-07		9	0	8
Кулвант Сингх Вирк	1921-05-20	деревня Пхулларван, округ екхупура, Индия	1987-12-24		1	0	1
Жан Жироду	1882-10-29	Верхняя Вьенна, Франция	1944-01-31	Париж, Франция	12	0	28
Хоца Намсараев	1889-05-09	улус Верхняя Кижинга, Забайкальская область	1959-08-28	Улан-Удэ, Бурятская АССР	12	0	3
Михаил Харитонов	1967-10-18	г. Москва			4	3	73
Ханну Мякеля	1943-08-18	Хельсинки, Финляндия			13	1	153
Мишель Анри	1922-01-10	Хайфон, Вьетнам	2002-07-03	Альби, Франция	3	0	3
Наум Вайман	1947-03-05	Москва			10	0	5
Валерий Рощин	1961-03-25	Жигулёвск, Куйбышевская область, РСФСР, СССР			29	0	49
Ксавье де Местр	1763-10-10	Шамбери	1852-06-12	Петербург	2	0	6
Миранда Харт	1972-12-14	Торки, графство Девон, Англия, Великобритания			1	0	8
Николас Мейер	1945-12-24	Нью-Йорк, США			4	0	66
Майю Лассила	1868-11-28	Тохмаярви	1918-05-21	Хельсинки	12	1	216
Мунёль Ли	1948-05-08	Сеул, Южная Корея			3	0	25
Владимир Бехтерев	1857-01-20	Сорали (ныне Бехтерево, Елабужский район)	1927-12-24	Москва	50	6	75
Алена Брандис	2000-02-06				4	0	7
Олег Табаков	1935-08-17	Саратов	2018-03-12	Москва	6	1	18
Мария Контэ	1976-05-04	Москва			4	0	8
Людмила Павличенко	1916-07-12	Белая Церковь, Васильковский уезд, Киевская губерния, Российская империя	1974-10-27	Москва, СССР	3	2	21
Лукино Висконти	1906-11-02	Милан, Италия	1976-03-17	Рим, Италия	4	0	15
Игорь Шапошников	1974-02-09	Волжский, Волгоградская область, Россия			17	1	6
Андре дю Буше	1924-05-07	Париж	2001-04-19	Трюинас	1	0	2
Густав Миллер	1857-09-04	Корьел, Техас, США	1929-01-01	Лукаут Маунтин, Теннесси, США	7	0	8
Кристиан Эльстер-младший	1881-03-17	Тронхейм	1947-01-01	Осло	0	0	1
Шарль де Голль	1890-11-22	Лилль, Франция	1970-11-09	Коломбе-ле-дёз-Эглиз, Франция	11	1	9
Гегам Сарьян	1902-12-25	Тебриз, Центральный бакхш шахрестана Тебриз, Восточный Азербайджан, Иран	1976-11-14	Ереван, Армянская ССР, СССР	2	0	0
Джеймс Саллис	1944-12-21	Хелена, Арканзас, США			7	1	191
Мишель Пессель	1937-02-11	Париж	2011-10-07	Париж	6	1	40
Борис Дышленко	1941-02-08	г. Новосибирск, РСФСР, СССР	2015-11-25	г. Санкт-Петербург, Россия	2	0	1
Стивен Артур Пинкер	1954-09-18	Монреаль, Канада			28	4	114
Кидж Джонсон	1960-01-20	в Харлане, штат Айова, США			5	0	86
Дмитро Ярош	1971-09-30	Дніпродзержинськ			1	1	6
Пауль Клее	1879-12-18	Мюнхенбухзее, под Берном, Швейцария	1940-06-29	Локарно, Германия (ныне Швейцария)	7	0	10
Акакий Церетели	1840-06-09	село Схвитори, Сачхерский район Российская империя	1915-01-26	г. Тбилиси, Российская империя	14	0	13
Сергей Гончаренко	1945-11-25	Стамбул	2006-05-09	Москва	3	0	0
Джудит Келман	1945-10-21	Бруклин, Нью-Йорк, США			1	0	0
Борис Херсонский	1950-11-28	Черновцы			33	2	29
Руне Пер Улофсон	1926-05-28				1	0	4
Кристийна Касс	1970-05-14	Тарту, Эстония			3	0	17
Василий Берви-Флеровский	1829-04-28	Рязань, Российская империя	1918-10-04	Юзовка, Российская империя (сейчас Донецк, Украина)	1	0	0
Владимир Стрекач	1931-01-06		2003-02-23		6	0	2
Ури Орбах	1960-03-28	Петах-Тиква, Израиль	2015-02-16	Иерусалим, Израиль	3	0	1
Иван Толстой	1858-05-30	г. Луга, Санк-Петербургская губерния, Российская империя	1916-06-02	Гаспра, Таврическая губерния, Российская империя	19	0	2
Надежда Жукова	1924-03-03				60	1	74
Карл Штайнер	1902-01-15	г. Вена, Австрия	1992-03-01	г. Загреб, Хорватия	1	0	20
Мария Велья да Кошта	1938-06-26	Лиссабон, Португалия			2	0	0
Чайтанья Чандра Чаран Дас	1958-03-01	Георгиевка, Джамбульская область, Казахская ССР			12	4	55
Жан Жубер	1928-02-27	Шалет-сюр-Луан	2015-11-28		7	0	75
Милена Завойчинская	2000-03-01	Прага			41	215	4415
Фазиль Искандер	1929-03-06	Сухум, Абхазия, СССР	2016-07-31	Переделкино, Московская область, Россия	153	43	2065
Максим Хорсун	1980-04-28	г. Симферополь (Украина)			21	0	78
Лин Гамильтон	1944-08-06	Этобикок, Торонто, Канада	2009-09-10	Торонто, Канада	22	3	49
Нина Данилова	1947-08-29				2	0	1
Кристофер Райх	1961-11-12	г. Токио, Япония			5	0	27
Филип Котлер	1931-05-27	Чикаго, США			85	3	476
Василий Алендей	1919-10-16	деревня Кудеснеры, Цивильский уезд, Казанская губерния (ныне Урмарский район Чувашия, Российская Фед	1989-03-15	Чебоксары, Чувашская АССР, РСФСР, СССР	1	0	1
Анджей Стасюк	1960-09-25	Варшава, Польша			29	4	105
Тесса де Лоо	1946-10-15	Бюссюм, Северная Голландия			3	1	298
Владимир Корнев	1968-04-04	Россия			19	1	24
Владимир Соловьев	1853-01-16	Москва	1900-07-13	село Узкое, ныне в черте города Москвы	146	5	277
Э. В. Каннингем	1914-11-11	Нью-Йорк, Нью-Йорк, США	2003-03-12	Олд-Гринвич, Коннектикут, США	4	0	97
Анастасия Левковская	1984-09-08				13	26	960
Владимир Гржонко	1960-06-29	Баку, Азербайджанская ССР, СССР			4	0	6
Аарон Оллстон	1960-12-08	Корсикана, штат Техас, США	2014-02-27	Спрингфилд, штат Миссури, США	38	1	46
Павло Коробчук	1984-07-12	Луцьк			10	0	50
Old Xian	1990-04-23				2	5	46
Уильям Бекфорд	1760-10-01	Лондон, Англия	1844-05-02		6	0	219
Мо Янь	1955-02-17	уезд Гаоми, провинция Шаньдун, Китай			30	26	1241
Беверли Клири	1916-04-12	Макминвилл, штат Орегон, США			14	0	39
Алейда Ассман	1947-03-22	Гаддербаум, ныне Билефельд (Германия)			4	0	22
Кристофер Брукмайер	1968-09-06	Глазго, Шотландия			22	0	3
Джозеф Шеридан Ле Фаню	1814-08-28	Дублин, Ирландия	1873-02-07	Дублин, Ирландия	31	19	1069
Валерий Андросов	1950-09-12	СССР			9	0	17
Кэтрин Мэнсфилд	1888-10-14	Веллингтон, Новая Зеландия	1923-01-09	Фонтенбло, Франция	45	14	337
Садыкбек Адамбеков	1922-11-15	аул Караспан, Арысский район, Южно-Казахстанская область	2002-01-01		1	0	0
Джо Сакко	1960-10-02	Kirkop,Malta			2	0	56
Антон Сибиряков	1984-11-06	Новосибирск			9	0	7
Джон Клэр	1793-07-13		1864-05-19		3	0	0
Антон Таммсааре	1878-01-30	волость Альбу, Эстляндия, Российская империя	1940-03-01	Таллин, Эстония	24	0	42
Герберт Маршалл Маклюэн	1911-07-21	Эдмонтон, Канада	1980-12-31	Торонто, Канада	16	5	188
Іван Байдак	1990-03-03	м. Гусятин Тернопільської обл.			6	4	124
Динко Шимунович	1873-09-01	Книн, Хорватия	1933-08-03	Загреб, Хорватия	1	0	0
Кёко Хикава	1957-02-15	Префектура Осака, Япония			11	0	3
Лиза Максвелл	2000-09-01				4	1	18
Мария Сакрытина	1990-03-19	г.Артем, Приморский край, Россия			3	3	208
Дэвид Марусек	1951-01-21	Баффало, штат Нью-Йорк			3	1	69
Дафинка Станева	1957-11-15	Пловдив			1	0	0
Виталий Калгин	1981-05-01	г. Железноводск, Ставропольский край, СССР			11	1	99
Эдвард Морган Форстер	1879-01-01	Лондон, Великобритания	1970-06-07	Ковентри, Великобритания	40	21	1247
Александр Асеевский	1930-10-23	с. Асеевка, Белорусская ССР			4	0	3
Эжен-Франсуа Видок	1775-07-23	Аррас, Франция	1857-05-11		6	0	60
Жак Брель	1929-04-08	коммуна Схарбек, Бельгия	1978-10-09	г. Бобиньи, Иль-де-Франс, Франция	2	0	1
Грегори Бейтсон	1904-05-09	Гранчестер, Великобритания	1980-07-04	Сан-Франциско, США	10	4	32
Армен Гаспарян	1975-07-04	Москва			21	6	111
Элен Гремийон	1977-02-08	Пуатье, Франция			5	0	231
Михаил Чехов	1865-10-06	Таганрог	1936-11-14	Ялта	10	0	22
Валерий Солдатенко	1946-04-13	с. Селидово, Сталинская область, Украинская ССР			2	0	1
Хосе Пласидо Доминго Эмбиль	1941-01-21	Мадрид, Испания			1	0	2
Роберт Эттингер	1918-12-04	Атлантик-Сити, США	2011-07-23	Детройт, США	2	0	6
Франц Петер Шуберт	1797-01-31	Вена	1828-11-19	Вена	43	0	1
Десанка Максимович	1898-05-16	Рабровица	1993-02-11	Белград	6	2	3
Александр Шевцов	1955-04-15				55	1	12
Наоми Митчисон	1897-11-01	Эдинбург, Шотландия, Великобритания	1999-01-11	Каррадэйл, Шотландия, Великобритания	5	0	44
Виктор Сапарин	1905-02-09		1970-01-01		7	0	3
Барбара Гауди	1950-06-25	Виндзор, Канада			6	1	93
Николай Лучник	1922-01-03	Ставрополь	1993-08-05	г. Обнинск	7	0	5
Николай Соколов	1903-07-08	Царицыно, Московская губерния, Российская империя	2000-04-17	Москва, Россия	3	0	1
Лаура Хилленбранд	1967-05-15	Fairfax, Virginia			10	1	118
Арт Шпигельман	1948-02-15	Стокгольм, Швеция			7	3	2329
Татьяна Булатова	1972-01-30				32	1	103
Юрий Теплов	1937-03-27	с. Табынское Гафурийского р-а, Башкирская АССР, СССР			14	0	2
Дороти Девис	1916-04-25	Чикаго, Иллинойс, США	2014-08-03	Палисейдс, Нью-Йорк, США	3	0	1
Кэтрин Стедман	1987-02-08				2	0	1
Саша Виленский	1955-05-12	Екатеринбург			4	0	14
Мэри Дуглас	1921-03-25	Сан-Ремо, Италия	2007-05-16	Лондон, Англия	2	0	12
Эжен Марен Лабиш	1815-05-05	Париж	1888-01-23	Париж	5	0	17
Людвиг Стомма	1950-03-22	Краков, Польша			4	0	7
Алена Востра	1938-05-17	Прага, Чехия	1992-04-15	Прага, Чехия	0	0	0
Людмила Гайдукова	1977-12-05	г. Алексин, Тульская обл., Россия			1	0	3
Дмитрий Кабалевский	1904-12-17	Санкт-Петербург	1987-02-14	Москва	23	0	16
Маргарита Пальшина	1978-04-19	Архангельск			10	1	24
Арнольд Уэскер	1932-05-24	London, UK	2016-04-12	Brighton/ East Sussex, UK	6	0	12
Анатолий Передреев	1939-12-18	деревня Новый Сокур, Татищевский район, Нижне-Волжский край, РСФСР	1987-11-19	Москва, СССР	10	0	1
Артур Багдасаров	1958-12-02	Баку, Азербайджанская ССР			8	0	0
Антуан де Сент-Экзюпери	1900-06-29	Лион, Франция	1944-07-31		328	605	54270
Николай Александрович Морозов	1854-06-25	Борок, Ярославская губерния, Российская империя	1946-07-30	Борок, Ярославская область, СССР	40	3	22
Вадим Глускер	1971-01-17	г. Ленинград			5	0	45
Елизавета Боярская	1985-12-20	Ленинград, СССР			0	0	4
Юрий Герт	1931-02-07	Астрахань, Городской округ город Астрахань, Астраханская область, РСФСР, СССР	2003-06-29	Кливленд, Огайо, США	12	0	8
Ян Дрда	1915-04-04	Пршибрам, Богемия, Чехия	1970-11-28	Добржиш, Богемия, Чехия	7	0	2
Эдгард Запашный	1976-07-11	г. Ялта, Крымская область, УССР, СССР			3	0	21
Жак Ле Гофф	1924-01-01	Тулон	2014-04-01	Париж	27	17	429
Фредерик ван Эден	1860-04-03	Харлем	1932-07-16	Бюссюм	2	0	3
Глен Кук	1944-07-09	Нью-Йорк, США			134	89	1364
Геше Майкл Роуч	1952-12-17				7	1	105
Жанна Голубицкая	1970-10-15	Москва			10	0	54
Олекса Десняк	1909-03-04	с. Бондаровка, Российская империя	1942-05-25	с. Павловка Вторая, УССР	3	0	2
Виктор Данилов-Данильян	1938-05-09	г.Москва, СССР			4	0	2
Самуил Лищинский	1926-11-07				2	0	1
Жан Андре Валь	1888-05-25	Марсель, Франция	1974-06-19	Париж, Франция	2	0	4
Василий Маханенко	1981-04-20	г. Северодвинск			23	35	631
Лина Костенко	1930-03-19	Ржищев, Киевский округ, УССР, СССР			19	59	1708
Антон Гикиш	1932-02-23	Банска-Штьявница, Словакия			2	0	2
Вероника Гамбара	1485-11-29	Пральбоино	1550-06-13	Корреджио	0	0	0
Оливер Онионс	1873-11-16		1961-04-09		3	0	2
Борис Бугаев	1880-10-26	Москва	1934-01-08	Москва	3	0	0
Михаил Шахнович	1911-02-23	Санкт-Петербург, Российская империя	1992-03-04	Санкт-Петербург, Россия	21	0	15
Дебби Макомбер	1948-10-22	Якима, штат Вашингтон, США			83	5	700
Илья Азаров	1902-07-21	Санкт-Петербург	1979-07-16	Москва	6	0	4
Николай Эрдман	1900-11-03	Москва, Российская империя	1970-08-10	Москва, СССР	14	8	395
Рене Франсуа Сюлли-Прюдом	1839-03-16	Париж, Франция	1907-09-07	Шатне-Малабри, Франция	4	3	23
Георгий Куманёв	1931-12-20	Лукоянов, РСФСР, СССР			5	0	0
Гейл Форман	1971-06-05				50	63	8288
Дэвид Боуи	1947-01-08	Брикстон, Ламбет, Лондон, Англия	2016-01-10	Манхэттен, Нью-Йорк, Нью-Йорк, Соединённые Штаты Америки	2	0	1
Стейн Мерен	1935-05-16	Oslo, Norge			2	0	12
Мулуд Фераун	1913-03-08	Тизи-Хибел	1962-03-15	Эль-Биар, район г. Алжир	3	0	2
София Лорен	1934-09-20	Рим, госпиталь для неимущих			7	2	57
Алексей Волков	1965-05-10	м. Тернопіль			14	6	61
Род Дрейер	1967-02-14	Батон-Руж, Луизиана, США			0	0	1
Константин Пензев	1965-01-20				17	0	7
Денис Ларионов	1986-12-21	Клин, Москвоская область			2	0	2
Caryl Ferey	1967-07-01	Кан, Франция			2	0	2
Мелина Весанто	1942-03-13	Ванкувер, Британская Колумбия, Канада			1	0	0
Виталий Василевский	1908-05-04	д. Медведевка, Златоустовский уезд, Уфимская губ. РИ	1991-01-01	Москва, СССР	11	0	0
Митрополит Иоанн Зизиулас	1931-01-10	Катафигио, Греция			4	0	2
Джой Филдинг	1945-03-18	Торонто, Канада			12	0	134
Мария Фехнер	1909-06-25		1996-01-01		3	0	1
Юрась Нераток	1961-09-19				5	1	7
Антал Серб	1903-05-01	Будапешт, Венгрия	1945-01-27	трудовой лагерь Балф, Венгрия	11	0	11
Вячеслав Иванов	1866-02-28	Москва	1949-07-16	Рим	55	2	58
Анастасия Вернер	1995-12-24				1	2	208
Джеймс Харкин	1971-12-30				2	0	182
Кристина Рой	1860-08-18	Стара Тура, Австрийская империя	1936-12-27		26	3	61
Олег Кургузов	1959-12-17		2004-03-10	Москва	27	2	65
Вениамин Айзенштадт	1921-10-15	с. Копысь, Белоруссия	1999-07-31	Витебск, Белоруссия	6	3	18
Денис Бурко	1984-10-14				0	0	0
Жозефина Пастернак	1900-02-06	Москва	1993-01-16	Оксфорд, Великобритания	1	0	0
Damien Echols	1974-12-11				2	0	1
Владислав Крапивин	1938-10-14	Россия			456	329	5022
Аня Сокол	1981-07-30	Ярославль			6	10	206
Сергей Жемайтис	1908-09-23	Николаевск-на-Амуре, СССР	1987-09-08	Москва, СССР	23	0	26
Джордж Гайп	1933-02-03	Бостон, Массачусетс, США	1986-08-06	Глендейл, Калифорния, США	3	0	87
Арнольд Минделл	1940-01-01	Скенектади, Нью-Йорк			27	1	42
Юрий Поляков	1954-11-12	Москва, СССР			219	24	1483
Гали-Дана Зингер	1962-04-23	Ленинград			5	0	3
Юханна Тидель	1980-11-14	Нассйо			3	0	57
Эдуард Лури	1927-04-10	г. Нью-Йорк, США	2008-03-08	США	1	0	0
Тесс Галлахер	1943-07-21	Вашингтон, США			1	0	0
Сергей Гончаров	1955-05-08	Днепропетровск			1	0	2
Владимир Орлов	1953-08-25	Полоцк			48	3	85
Павел Гольдин	1981-12-29	Санкт-Петербург			1	0	0
Борис Цирюльник	1937-07-26	Бордо, Франция			5	0	18
Брет Истон Эллис	1964-03-07	Лос-Анджелес, США			48	76	5182
Борис Болотов	1930-11-30	пос. Глотовка Инзенского района Ульяновской области			77	2	6
Александр Мосолов	1854-02-19	г. Рязань (Российская империя)	1939-10-01	София, Болгария	8	1	26
Владимир Аврущенко	1908-06-17	Ямполь, Подольская губерния, Российская империя	1941-01-01	около Пирятина, Полтавская обл. (пропал без вести)	1	0	0
Михаил Левидов	1891-02-12	Москва, Российская империя	1942-05-05	В местах заключения, СССР	9	0	5
Олег Шинкаренко	1976-02-20	Запорожье, Украина			3	0	12
Петр Дариенко	1923-04-16	с. Долинское, ныне Ананьевского района Одесской области	1976-07-09	Москва	3	0	0
Уильям Биби	1877-07-29	Нью-Йорк, США	1962-06-04	Арима, Тринидад	2	0	0
Валентина Степанова	1949-03-15	г. Ясиноватая, Донецкая обл.			2	0	1
Мухаммед Диб	1920-07-21	Алжир, Тлемсен	2003-05-02	Ля-Сель-Сен-Клу	6	0	7
Валери Жискар д'Эстен	1926-02-02	Кобленц, Гессен, Германия			7	0	17
Ульрике Швайкерт	1966-11-28	Швебиш-Халль			15	12	255
Клаус Манн	1906-11-18	Мюнхен, Германия	1949-05-21	Канны, Франция	11	1	90
Лев Лурье	1950-04-19	Ленинград, СССР			42	3	215
